SAM-Road Training Log - 2026-06-25 01:58:49
Epoch 0: 64/1060, train_mask_loss=0.1102, train_topo_loss=0.1139, train_loss=0.2241
Epoch 0: 65/1060, train_mask_loss=0.1104, train_topo_loss=0.1617, train_loss=0.2722
Epoch 0: 66/1060, train_mask_loss=0.1129, train_topo_loss=0.2010, train_loss=0.3139
Epoch 0: 67/1060, train_mask_loss=0.1184, train_topo_loss=0.1716, train_loss=0.2900
Epoch 0: 68/1060, train_mask_loss=0.1357, train_topo_loss=0.1549, train_loss=0.2905
Epoch 0: 69/1060, train_mask_loss=0.1084, train_topo_loss=0.1409, train_loss=0.2492
Epoch 0: 70/1060, train_mask_loss=0.0955, train_topo_loss=0.1718, train_loss=0.2674
Epoch 0: 71/1060, train_mask_loss=0.1172, train_topo_loss=0.1652, train_loss=0.2825
Epoch 0: 72/1060, train_mask_loss=0.1274, train_topo_loss=0.1798, train_loss=0.3072
Epoch 0: 73/1060, train_mask_loss=0.1303, train_topo_loss=0.1191, train_loss=0.2494
Epoch 0: 74/1060, train_mask_loss=0.1455, train_topo_loss=0.1840, train_loss=0.3295
Epoch 0: 75/1060, train_mask_loss=0.1050, train_topo_loss=0.1289, train_loss=0.2339
Epoch 0: 76/1060, train_mask_loss=0.1379, train_topo_loss=0.1990, train_loss=0.3369
Epoch 0: 77/1060, train_mask_loss=0.1256, train_topo_loss=0.1705, train_loss=0.2961
Epoch 0: 78/1060, train_mask_loss=0.1282, train_topo_loss=0.2065, train_loss=0.3347
Epoch 0: 79/1060, train_mask_loss=0.1391, train_topo_loss=0.1992, train_loss=0.3383
Epoch 0: 80/1060, train_mask_loss=0.1259, train_topo_loss=0.1590, train_loss=0.2849
Epoch 0: 81/1060, train_mask_loss=0.1365, train_topo_loss=0.1651, train_loss=0.3017
Epoch 0: 82/1060, train_mask_loss=0.1167, train_topo_loss=0.1946, train_loss=0.3114
Epoch 0: 83/1060, train_mask_loss=0.1259, train_topo_loss=0.1427, train_loss=0.2686
Epoch 0: 84/1060, train_mask_loss=0.1226, train_topo_loss=0.1593, train_loss=0.2819
Epoch 0: 85/1060, train_mask_loss=0.1169, train_topo_loss=0.1347, train_loss=0.2517
Epoch 0: 86/1060, train_mask_loss=0.1296, train_topo_loss=0.1432, train_loss=0.2728
Epoch 0: 87/1060, train_mask_loss=0.1167, train_topo_loss=0.1287, train_loss=0.2454
Epoch 0: 88/1060, train_mask_loss=0.1426, train_topo_loss=0.1433, train_loss=0.2859
Epoch 0: 89/1060, train_mask_loss=0.1094, train_topo_loss=0.1549, train_loss=0.2643
Epoch 0: 90/1060, train_mask_loss=0.1197, train_topo_loss=0.1310, train_loss=0.2507
Epoch 0: 91/1060, train_mask_loss=0.1469, train_topo_loss=0.1580, train_loss=0.3049
Epoch 0: 92/1060, train_mask_loss=0.1225, train_topo_loss=0.1471, train_loss=0.2696
Epoch 0: 93/1060, train_mask_loss=0.1267, train_topo_loss=0.1678, train_loss=0.2945
Epoch 0: 94/1060, train_mask_loss=0.1194, train_topo_loss=0.1236, train_loss=0.2430
Epoch 0: 95/1060, train_mask_loss=0.1311, train_topo_loss=0.1588, train_loss=0.2899
Epoch 0: 96/1060, train_mask_loss=0.1224, train_topo_loss=0.1069, train_loss=0.2293
Epoch 0: 97/1060, train_mask_loss=0.1268, train_topo_loss=0.1838, train_loss=0.3105
Epoch 0: 98/1060, train_mask_loss=0.0932, train_topo_loss=0.1818, train_loss=0.2750
Epoch 0: 99/1060, train_mask_loss=0.1059, train_topo_loss=0.1016, train_loss=0.2074
Epoch 0: 100/1060, train_mask_loss=0.1285, train_topo_loss=0.1710, train_loss=0.2995
Epoch 0: 101/1060, train_mask_loss=0.1400, train_topo_loss=0.1092, train_loss=0.2491
Epoch 0: 102/1060, train_mask_loss=0.1107, train_topo_loss=0.1225, train_loss=0.2332
Epoch 0: 103/1060, train_mask_loss=0.1095, train_topo_loss=0.1435, train_loss=0.2530
Epoch 0: 104/1060, train_mask_loss=0.1301, train_topo_loss=0.1428, train_loss=0.2729
Epoch 0: 105/1060, train_mask_loss=0.0874, train_topo_loss=0.1013, train_loss=0.1887
Epoch 0: 106/1060, train_mask_loss=0.1125, train_topo_loss=0.1799, train_loss=0.2923
Epoch 0: 107/1060, train_mask_loss=0.1257, train_topo_loss=0.1607, train_loss=0.2864
Epoch 0: 108/1060, train_mask_loss=0.1198, train_topo_loss=0.1101, train_loss=0.2299
Epoch 0: 109/1060, train_mask_loss=0.1056, train_topo_loss=0.1431, train_loss=0.2487
Epoch 0: 110/1060, train_mask_loss=0.1346, train_topo_loss=0.1428, train_loss=0.2774
Epoch 0: 111/1060, train_mask_loss=0.0992, train_topo_loss=0.1182, train_loss=0.2174
Epoch 0: 112/1060, train_mask_loss=0.1324, train_topo_loss=0.1550, train_loss=0.2875
Epoch 0: 113/1060, train_mask_loss=0.1097, train_topo_loss=0.1202, train_loss=0.2299
Epoch 0: 114/1060, train_mask_loss=0.1514, train_topo_loss=0.1403, train_loss=0.2917
Epoch 0: 115/1060, train_mask_loss=0.1189, train_topo_loss=0.1008, train_loss=0.2197
Epoch 0: 116/1060, train_mask_loss=0.1194, train_topo_loss=0.1041, train_loss=0.2235
Epoch 0: 117/1060, train_mask_loss=0.1196, train_topo_loss=0.1085, train_loss=0.2281
Epoch 0: 118/1060, train_mask_loss=0.0997, train_topo_loss=0.1207, train_loss=0.2203
Epoch 0: 119/1060, train_mask_loss=0.1032, train_topo_loss=0.0959, train_loss=0.1991
Epoch 0: 120/1060, train_mask_loss=0.1353, train_topo_loss=0.1225, train_loss=0.2579
Epoch 0: 121/1060, train_mask_loss=0.1392, train_topo_loss=0.1504, train_loss=0.2897
Epoch 0: 122/1060, train_mask_loss=0.1212, train_topo_loss=0.1345, train_loss=0.2557
Epoch 0: 123/1060, train_mask_loss=0.1001, train_topo_loss=0.1355, train_loss=0.2356
Epoch 0: 124/1060, train_mask_loss=0.1151, train_topo_loss=0.1319, train_loss=0.2469
Epoch 0: 125/1060, train_mask_loss=0.1167, train_topo_loss=0.1314, train_loss=0.2481
Epoch 0: 126/1060, train_mask_loss=0.1069, train_topo_loss=0.1588, train_loss=0.2657
Epoch 0: 127/1060, train_mask_loss=0.1410, train_topo_loss=0.1459, train_loss=0.2869
Epoch 0: 128/1060, train_mask_loss=0.1084, train_topo_loss=0.1280, train_loss=0.2364
Epoch 0: 129/1060, train_mask_loss=0.1277, train_topo_loss=0.1622, train_loss=0.2900
Epoch 0: 130/1060, train_mask_loss=0.0953, train_topo_loss=0.1398, train_loss=0.2351
Epoch 0: 131/1060, train_mask_loss=0.1164, train_topo_loss=0.1239, train_loss=0.2403
Epoch 0: 132/1060, train_mask_loss=0.1135, train_topo_loss=0.1012, train_loss=0.2147
Epoch 0: 133/1060, train_mask_loss=0.1195, train_topo_loss=0.1916, train_loss=0.3112
Epoch 0: 134/1060, train_mask_loss=0.1072, train_topo_loss=0.0930, train_loss=0.2003
Epoch 0: 135/1060, train_mask_loss=0.1218, train_topo_loss=0.1539, train_loss=0.2758
Epoch 0: 136/1060, train_mask_loss=0.1383, train_topo_loss=0.1660, train_loss=0.3043
Epoch 0: 137/1060, train_mask_loss=0.1205, train_topo_loss=0.1323, train_loss=0.2529
Epoch 0: 138/1060, train_mask_loss=0.0908, train_topo_loss=0.1455, train_loss=0.2364
Epoch 0: 139/1060, train_mask_loss=0.1122, train_topo_loss=0.1339, train_loss=0.2461
Epoch 0: 140/1060, train_mask_loss=0.0897, train_topo_loss=0.1127, train_loss=0.2024
Epoch 0: 141/1060, train_mask_loss=0.1216, train_topo_loss=0.1784, train_loss=0.3000
Epoch 0: 142/1060, train_mask_loss=0.1063, train_topo_loss=0.1607, train_loss=0.2669
Epoch 0: 143/1060, train_mask_loss=0.1000, train_topo_loss=0.1294, train_loss=0.2294
Epoch 0: 144/1060, train_mask_loss=0.0928, train_topo_loss=0.1511, train_loss=0.2439
Epoch 0: 145/1060, train_mask_loss=0.1142, train_topo_loss=0.1276, train_loss=0.2418
Epoch 0: 146/1060, train_mask_loss=0.1193, train_topo_loss=0.1198, train_loss=0.2391
Epoch 0: 147/1060, train_mask_loss=0.1207, train_topo_loss=0.0936, train_loss=0.2143
Epoch 0: 148/1060, train_mask_loss=0.1097, train_topo_loss=0.1214, train_loss=0.2311
Epoch 0: 149/1060, train_mask_loss=0.1227, train_topo_loss=0.0857, train_loss=0.2084
Epoch 0: 150/1060, train_mask_loss=0.1126, train_topo_loss=0.1702, train_loss=0.2829
Epoch 0: 151/1060, train_mask_loss=0.1324, train_topo_loss=0.1618, train_loss=0.2942
Epoch 0: 152/1060, train_mask_loss=0.0938, train_topo_loss=0.1315, train_loss=0.2253
Epoch 0: 153/1060, train_mask_loss=0.1071, train_topo_loss=0.1503, train_loss=0.2573
Epoch 0: 154/1060, train_mask_loss=0.0911, train_topo_loss=0.1010, train_loss=0.1920
Epoch 0: 155/1060, train_mask_loss=0.1149, train_topo_loss=0.1495, train_loss=0.2643
Epoch 0: 156/1060, train_mask_loss=0.1249, train_topo_loss=0.1159, train_loss=0.2408
Epoch 0: 157/1060, train_mask_loss=0.0958, train_topo_loss=0.1201, train_loss=0.2159
Epoch 0: 158/1060, train_mask_loss=0.1002, train_topo_loss=0.1081, train_loss=0.2083
Epoch 0: 159/1060, train_mask_loss=0.0984, train_topo_loss=0.1180, train_loss=0.2164
Epoch 0: 160/1060, train_mask_loss=0.1173, train_topo_loss=0.1165, train_loss=0.2339
Epoch 0: 161/1060, train_mask_loss=0.0980, train_topo_loss=0.1111, train_loss=0.2091
Epoch 0: 162/1060, train_mask_loss=0.1283, train_topo_loss=0.1218, train_loss=0.2501
Epoch 0: 163/1060, train_mask_loss=0.1096, train_topo_loss=0.1030, train_loss=0.2126
Epoch 0: 164/1060, train_mask_loss=0.1030, train_topo_loss=0.2006, train_loss=0.3036
Epoch 0: 165/1060, train_mask_loss=0.0870, train_topo_loss=0.0559, train_loss=0.1429
