SAM-Road Training Log - 2026-06-13 21:24:27
Epoch 0 val:, val_mask_loss=0.6169, val_topo_loss=0.7138, val_loss=1.3307
Epoch 0: 1/5292, train_mask_loss=0.6160, train_topo_loss=0.6998, train_loss=1.3158
Epoch 0: 2/5292, train_mask_loss=0.6104, train_topo_loss=0.5804, train_loss=1.1908
Epoch 0: 3/5292, train_mask_loss=0.6057, train_topo_loss=0.5471, train_loss=1.1528
Epoch 0: 4/5292, train_mask_loss=0.5974, train_topo_loss=0.4867, train_loss=1.0841
Epoch 0: 5/5292, train_mask_loss=0.5886, train_topo_loss=0.4659, train_loss=1.0545
Epoch 0: 6/5292, train_mask_loss=0.5752, train_topo_loss=0.4153, train_loss=0.9906
Epoch 0: 7/5292, train_mask_loss=0.5634, train_topo_loss=0.4208, train_loss=0.9842
Epoch 0: 8/5292, train_mask_loss=0.5500, train_topo_loss=0.3875, train_loss=0.9375
Epoch 0: 9/5292, train_mask_loss=0.5335, train_topo_loss=0.3470, train_loss=0.8805
Epoch 0: 10/5292, train_mask_loss=0.5213, train_topo_loss=0.4159, train_loss=0.9372
Epoch 0: 11/5292, train_mask_loss=0.5028, train_topo_loss=0.3152, train_loss=0.8180
Epoch 0: 12/5292, train_mask_loss=0.4795, train_topo_loss=0.2848, train_loss=0.7643
Epoch 0: 13/5292, train_mask_loss=0.4572, train_topo_loss=0.2487, train_loss=0.7059
Epoch 0: 14/5292, train_mask_loss=0.4190, train_topo_loss=0.3229, train_loss=0.7419
Epoch 0: 15/5292, train_mask_loss=0.3927, train_topo_loss=0.3068, train_loss=0.6996
Epoch 0: 16/5292, train_mask_loss=0.3776, train_topo_loss=0.2331, train_loss=0.6107
Epoch 0: 17/5292, train_mask_loss=0.3447, train_topo_loss=0.2318, train_loss=0.5765
Epoch 0: 18/5292, train_mask_loss=0.3244, train_topo_loss=0.2456, train_loss=0.5700
Epoch 0: 19/5292, train_mask_loss=0.2856, train_topo_loss=0.2487, train_loss=0.5343
Epoch 0: 20/5292, train_mask_loss=0.2876, train_topo_loss=0.2541, train_loss=0.5417
Epoch 0: 21/5292, train_mask_loss=0.2463, train_topo_loss=0.2216, train_loss=0.4679
Epoch 0: 22/5292, train_mask_loss=0.2165, train_topo_loss=0.3077, train_loss=0.5242
Epoch 0: 23/5292, train_mask_loss=0.1787, train_topo_loss=0.2726, train_loss=0.4513
