SAM-Road Training Log - 2026-06-13 21:01:07
Epoch 0: 64/5292, train_mask_loss=0.1326, train_topo_loss=0.1823, train_loss=0.3149
Epoch 0: 65/5292, train_mask_loss=0.1388, train_topo_loss=0.1834, train_loss=0.3222
Epoch 0: 66/5292, train_mask_loss=0.1509, train_topo_loss=0.1498, train_loss=0.3007
Epoch 0: 67/5292, train_mask_loss=0.1425, train_topo_loss=0.1802, train_loss=0.3227
Epoch 0: 68/5292, train_mask_loss=0.1567, train_topo_loss=0.1813, train_loss=0.3380
Epoch 0: 69/5292, train_mask_loss=0.1347, train_topo_loss=0.2364, train_loss=0.3711
Epoch 0: 70/5292, train_mask_loss=0.1554, train_topo_loss=0.1764, train_loss=0.3318
Epoch 0: 71/5292, train_mask_loss=0.1579, train_topo_loss=0.1662, train_loss=0.3241
Epoch 0: 72/5292, train_mask_loss=0.1124, train_topo_loss=0.1310, train_loss=0.2435
Epoch 0: 73/5292, train_mask_loss=0.0982, train_topo_loss=0.2268, train_loss=0.3250
Epoch 0: 74/5292, train_mask_loss=0.1492, train_topo_loss=0.1980, train_loss=0.3472
Epoch 0: 75/5292, train_mask_loss=0.1214, train_topo_loss=0.1589, train_loss=0.2803
Epoch 0: 76/5292, train_mask_loss=0.1300, train_topo_loss=0.1543, train_loss=0.2843
Epoch 0: 77/5292, train_mask_loss=0.1440, train_topo_loss=0.2289, train_loss=0.3728
Epoch 0: 78/5292, train_mask_loss=0.1200, train_topo_loss=0.1672, train_loss=0.2871
Epoch 0: 79/5292, train_mask_loss=0.1431, train_topo_loss=0.1780, train_loss=0.3211
Epoch 0: 80/5292, train_mask_loss=0.1273, train_topo_loss=0.1191, train_loss=0.2464
Epoch 0: 81/5292, train_mask_loss=0.1119, train_topo_loss=0.1998, train_loss=0.3118
Epoch 0: 82/5292, train_mask_loss=0.1615, train_topo_loss=0.1372, train_loss=0.2988
Epoch 0: 83/5292, train_mask_loss=0.1153, train_topo_loss=0.1568, train_loss=0.2721
Epoch 0: 84/5292, train_mask_loss=0.1147, train_topo_loss=0.1209, train_loss=0.2356
Epoch 0: 85/5292, train_mask_loss=0.1364, train_topo_loss=0.1174, train_loss=0.2538
Epoch 0: 86/5292, train_mask_loss=0.1376, train_topo_loss=0.2052, train_loss=0.3428
Epoch 0: 87/5292, train_mask_loss=0.1276, train_topo_loss=0.1503, train_loss=0.2779
Epoch 0: 88/5292, train_mask_loss=0.1224, train_topo_loss=0.1438, train_loss=0.2662
Epoch 0: 89/5292, train_mask_loss=0.1021, train_topo_loss=0.1320, train_loss=0.2341
Epoch 0: 90/5292, train_mask_loss=0.1267, train_topo_loss=0.1529, train_loss=0.2796
